Casual,Date,Member,Total_rides,apparent_temperature_mean (°C),temperature_2m_mean (°C),weathercode (wmo code),windspeed_10m_max (km/h)
371,2021-01-01,590,961,-0.9,2.3,63,10.6
2874,2021-01-02,2844,5718,4.8,7.6,61,19.1
495,2021-01-03,1133,1628,0.9,3.9,63,13.0
907,2021-01-04,2074,2981,1.0,4.1,3,13.3
1057,2021-01-05,2004,3061,1.4,4.0,51,9.2
1359,2021-01-06,1753,3112,-1.1,3.4,3,20.8
1167,2021-01-07,2143,3310,-1.3,2.9,3,14.4
784,2021-01-08,2203,2987,-3.1,0.7,3,12.9
1490,2021-01-09,2582,4072,-3.8,1.7,2,19.4
1479,2021-01-10,2522,4001,-1.8,2.6,1,18.7
677,2021-01-11,2194,2871,-1.8,1.5,3,9.8
919,2021-01-12,2725,3644,-2.2,1.3,0,10.2
1095,2021-01-13,2788,3883,-1.3,2.1,0,9.7
1095,2021-01-14,2702,3797,0.3,3.5,2,9.2
924,2021-01-15,2410,3334,1.0,4.4,53,18.9
1850,2021-01-16,2841,4691,0.6,4.3,53,16.2
1437,2021-01-17,2308,3745,-1.0,3.4,3,19.6
1229,2021-01-18,2212,3441,-1.9,2.6,2,20.8
1185,2021-01-19,2185,3370,-2.1,2.3,3,20.5
995,2021-01-20,1627,2622,-3.3,1.4,53,24.7
1106,2021-01-21,2423,3529,-1.7,2.3,1,12.3
1302,2021-01-22,2734,4036,-1.6,2.8,3,20.4
1145,2021-01-23,2337,3482,-5.9,-0.3,3,23.6
1143,2021-01-24,2166,3309,-5.4,-0.9,3,14.0
543,2021-01-25,1847,2390,-2.1,1.5,73,10.0
492,2021-01-26,1505,1997,-1.4,1.5,73,11.9
968,2021-01-27,2560,3528,-1.1,2.8,3,17.2
683,2021-01-28,1984,2667,-6.2,-0.1,71,27.6
824,2021-01-29,2046,2870,-8.5,-1.9,3,27.2
1463,2021-01-30,2535,3998,-6.0,-1.4,3,14.2
329,2021-01-31,706,1035,-4.8,-0.5,75,17.9
227,2021-02-01,746,973,-4.9,-0.1,73,18.9
